sku	asin	price	quantity
B5RSA040P7	B00TJ0WC3K	27.99	1
B5RSA041P7	B00TJ10Z42	49.99	1
B5RSA041P8	B00TJ10ZII	49.99	1
B5RSA041P9	B00TJ10Z5G	49.99	1
B5RSA042P6	B00TJ1FVNW	27.99	1
B5RSA042P7	B00TJ1FVOQ	27.99	1
B5RSA042P8	B00TJ1FVPU	27.99	1
B5RSA042P9	B00TJ1FVDM	27.99	1
B5RSA043P7	B00TJ2BV2G	29.99	1
B5RSA043P8	B00TJ2BVIU	29.99	1
B5RSA043P9	B00TJ2BUY0	29.99	1
B5RSA044P6	B00TJ2IUOI	44.99	1
B5RSA044P7	B00TJ2IUN4	44.99	1
B5RSA045P6	B00TJ2TLIM	22.99	1
B5RSA045P7	B00TJ2TLRS	22.99	1
B5RSA045P8	B00TJ2TLOG	22.99	1
B5RSA047P6	B00TJ5DP9U	19.99	1
B5RSA047P7	B00TJ5DPMC	19.99	1
B5RSA047P8	B00TJ5DP4K	19.99	1
B5RSA047P9	B00TJ5DQOY	19.99	1
B5RSA048P6	B00TJ5Z0I4	12.99	1
B5RSA048P7	B00TJ5Z10Q	12.99	1
B5RSA048P8	B00TJ5YZVW	12.99	1
B5RSA049P6	B00TJ6QQT0	25.99	1
B5RSA049P6.5	B00TJ6QQKY	25.99	1
B5RSA049P7	B00TJ6QQOK	25.99	1
B5RSA049P7.5	B00TJ6QQW2	25.99	1
B5RSA050P6	B00TJ7ZLS6	44.99	1
B5RSA050P7	B00TJ7ZLX6	44.99	1
B5RSA050P8	B00TJ7ZLUE	44.99	1
B5RSA051P6	B00TJ84Y92	32.99	1
B5RSA051P7	B00TJ84XY8	32.99	1
B5RSA051P8	B00TJ84YA6	32.99	1
B5RSA052P6	B00TJ8ISPI	11.99	1
B5RSA052P7	B00TJ8ISW6	11.99	1
B5RSA052P8	B00TJ8ISNK	11.99	1
B5RSA052P9	B00TJ8ISBW	11.99	1
B5RSA053P6	B00TJ8WHCI	42.99	1
B5RSA053P9	B00TJ8WH6Y	42.99	1
B5RSA054P6	B00TJ99J8W	44.99	1
B5RSA054P7	B00TJ99JF0	44.99	1
B5RSA054P8	B00TJ99IQU	44.99	1
B5RSA055P6	B00TJ9SWY4	39.99	1
B5RSA055P7	B00TJ9SXB6	39.99	1
B5RSA055P8	B00TJ9SWQC	39.99	1
B5RSA056P6	B00TJ9YVS0	24.99	1
B5RSA056P7	B00TJ9YVIA	24.99	1
B5RSA057P6	B00TJABZDS	22.99	1
B5RSA057P7	B00TJABZR4	22.99	1
B5RSA057P8	B00TJABZII	22.99	1
B5RSA057P9	B00TJABZEM	22.99	1
B5RSA058P7	B00TJAOSZK	38.99	1
B5RSA058P8	B00TJAOT36	38.99	1
B5RSA058P9	B00TJAOTFE	38.99	2
B7NSA001P0	B00S1XUE5O	137.99	1
B7NSA002P0	B00S1XUGOS	86.99	1
B7NSA004P0	B00S1XUKTE	121.99	1
